tweet;emotion;Neutral,''- (10/10) gw suka jadi wanita misterius - (100/10) omg lucu banget capa ini - (8/10) ni pasti temen smp - (8,5/10) do you get deja vuu''
''lae ku sayang jangan sedih ya, bentar lagu kau menyusul junjungan mu yang kau bela mati matian kemarin sayang kamu'';Love;Anger,''lagi benci banget dengerin lagu bucin''
''lagi benci banget dengerin lagu bucin'';Anger;Sad,''lagi di fase sedih bgt gapunya siapa buat cerita''
''lagi di fase sedih bgt gapunya siapa buat cerita'';Sad;Fear,''lagi kerja disemangatin sama si cantik yang belum mandi gara gara takut beku''
''lagi kerja disemangatin sama si cantik yang belum mandi gara gara takut beku'';Fear;Anger,''lagi kesal gegara kelompok''
''lagi kesal gegara kelompok'';Anger;Neutral,''lagi males bales pesan wa, mau deact tp komunikasi cuma disitu. jangan smpai tangan gatel buka wa kalau ga urgent deh beneran muales''
''lagi males bales pesan wa, mau deact tp komunikasi cuma disitu. jangan smpai tangan gatel buka wa kalau ga urgent deh beneran muales'';Neutral;Anger,''lagi marah''
''lagi marah'';Anger;Fear,''lagi mau tanyain kabar tapi takut ganggu :(''
''lagi mau tanyain kabar tapi takut ganggu :('';Fear;Neutral,''lagi milihin baju2 lama dilemari buat disumbangin, terus nemu baju ini baju yang paling di benci sama suami gw, because he knows exactly i got this shirt from my ex''
''lagi milihin baju2 lama dilemari buat disumbangin, terus nemu baju ini baju yang paling di benci sama suami gw, because he knows exactly i got this shirt from my ex'';Neutral;Fear,''lagi pusing, tapi kalo dapet dana kaget 100$ ilang ni pusingnya''
''lagi pusing, tapi kalo dapet dana kaget 100$ ilang ni pusingnya'';Fear;Joy,''lagi sebar duit lewat dana kaget nih! cuma buat kamu yang paling gesit, sikat sekarang''
''lagi sebar duit lewat dana kaget nih! cuma buat kamu yang paling gesit, sikat sekarang'';Joy;Sad,''lagi sedih, meong ku meninggal :(''
''lagi sedih, meong ku meninggal :('';Sad;Joy,''lagi semangat belajar kimia, kalo gurunya ga dateng gue nangis sih''
''lagi semangat belajar kimia, kalo gurunya ga dateng gue nangis sih'';Joy;Joy,''lagi seneng soalnya dapet kabar baik i vote for at the 2022''
''lagi seneng soalnya dapet kabar baik i vote for at the 2022'';Joy;Fear,''lagi stuck nih.. gatau sampe kapan nih ceritaku. takut ngga bisa ngelanjutin ada yang pernah diposisi ini ngga guys? dan apa yg kalian lakuin biar survive lagi?''
''lagi stuck nih.. gatau sampe kapan nih ceritaku. takut ngga bisa ngelanjutin ada yang pernah diposisi ini ngga guys? dan apa yg kalian lakuin biar survive lagi?'';Fear;Love,''lagi suka banget''
''lagi suka banget'';Love;Love,''lagi suka banget dengerin lagu memories-nya one piece, apalagi kalo tau artinya''
''lagi suka banget dengerin lagu memories-nya one piece, apalagi kalo tau artinya'';Love;Love,''lagi suka banget lagu 127 yg the rainy night''
''lagi suka banget lagu 127 yg the rainy night'';Love;Love,''lagi suka banget lagunya tbz summer time, judulnya aja dah summer tuh oh sama ini luizy - baby ride''
''lagi suka banget lagunya tbz summer time, judulnya aja dah summer tuh oh sama ini luizy - baby ride'';Love;Love,''lagi suka banget sama foto bang jhope yg ini tysm for ga & wish me luck''
''lagi suka banget sama foto bang jhope yg ini tysm for ga & wish me luck'';Love;Love,''lagi suka banget sama foto ini wish me luck''
''lagi suka banget sama foto ini wish me luck'';Love;Love,''lagi suka bgt sama muka aku akhir2 ini sehat banget padahal aku lg haid''
''lagi suka bgt sama muka aku akhir2 ini sehat banget padahal aku lg haid'';Love;Love,''lagian gapnya ga jauh2 banget lah 4 tahun.. malah agak heran juga kalo rumor ini beneran soalnya tao brp kali bilang lbh suka tipe jiejie.''
''lagian gapnya ga jauh2 banget lah 4 tahun.. malah agak heran juga kalo rumor ini beneran soalnya tao brp kali bilang lbh suka tipe jiejie.'';Love;Neutral,''lagian ngirim kok cuma pesan ngirim tuh duit lumayan bisa beli kuota buat bales pesannya ''
''lagian ngirim kok cuma pesan ngirim tuh duit lumayan bisa beli kuota buat bales pesannya '';Neutral;Anger,''lagian sih kemarin siapa sih yg milih ini gubernurr ???? wong dudul koyok ngene .''
''lagian sih kemarin siapa sih yg milih ini gubernurr ???? wong dudul koyok ngene .'';Anger;Sad,''lagu merasa indah kenapa sedih ya''
''lagu merasa indah kenapa sedih ya'';Sad;Anger,''lagu ngegalau kelas 10 pas lagi jaman jamannya galauin cowo yang seharusnya ngga gue galauin haha dasar bodoh''
''lagu ngegalau kelas 10 pas lagi jaman jamannya galauin cowo yang seharusnya ngga gue galauin haha dasar bodoh'';Anger;Sad,''lagu sedih di campur perasaan beuhh makinn''
''lagu sedih di campur perasaan beuhh makinn'';Sad;Joy,''lagunya enak banget trus liriknya related sama kehidupan kita sbg anak. yang mau kepoin nih''
''lagunya enak banget trus liriknya related sama kehidupan kita sbg anak. yang mau kepoin nih'';Joy;Joy,''lagunya mark enak banget asli''
''lagunya mark enak banget asli'';Joy;"Anger,''lagunya sakusa habis diputusin atsumu habis itu misuhin lagu ""yakali ajg gue bisa benci lo. yakali ajg gue cari yang baru. gue maunya lo gak yang baru gak dengan benci lo""''"
"''lagunya sakusa habis diputusin atsumu habis itu misuhin lagu ""yakali ajg gue bisa benci lo. yakali ajg gue cari yang baru. gue maunya lo gak yang baru gak dengan benci lo""''";Anger;Sad,''lagunyaa monyet sedih bgt''
''lagunyaa monyet sedih bgt'';Sad;Joy,''lah ada ahah, aku kira orang biasa pas lewat gasadar, makasi judith uwu''
''lah ada ahah, aku kira orang biasa pas lewat gasadar, makasi judith uwu'';Joy;Anger,''lah adek gue udah lulus kuliah juga masih gue panggil adek. ade ade aje lu yee pagi pagi bikin emosi ni maap''
''lah adek gue udah lulus kuliah juga masih gue panggil adek. ade ade aje lu yee pagi pagi bikin emosi ni maap'';Anger;Neutral,''lah anj enak banget??''
''lah anj enak banget??'';Neutral;Anger,''lah anjir kalo udah biasa manggil adik mah adik aja kali, gajelas lu anjir. emang lu aja aneh masih cari pembelaan''
''lah anjir kalo udah biasa manggil adik mah adik aja kali, gajelas lu anjir. emang lu aja aneh masih cari pembelaan'';Anger;Anger,''lah bego, itu all of us are dead kali gwinam''
''lah bego, itu all of us are dead kali gwinam'';Anger;Neutral,''lah itu mah kesntuh semua sarafnya, stres sedih marah frustasi cemas mual tegang langsung bablas ilang mana cantik banget genggamannya''
''lah itu mah kesntuh semua sarafnya, stres sedih marah frustasi cemas mual tegang langsung bablas ilang mana cantik banget genggamannya'';Neutral;Neutral,''lah itu mah kesntuh semua sarafnya, stres sedih marah frustasi cemas mual tegang langsung bablas ilang mana cantik banget genggamannya''
''lah itu mah kesntuh semua sarafnya, stres sedih marah frustasi cemas mual tegang langsung bablas ilang mana cantik banget genggamannya'';Neutral;Anger,''lah iya ya pernah agx tolol ak''
''lah iya ya pernah agx tolol ak'';Anger;"Anger,''lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal, ada anak perempuan satu lagi punya ayah ibu saya"" gitu? tolol ih.''"
"''lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal, ada anak perempuan satu lagi punya ayah ibu saya"" gitu? tolol ih.''";Anger;Fear,''lah kann pada salty ngapa dah ak baru twt kaget anjir''
''lah kann pada salty ngapa dah ak baru twt kaget anjir'';Fear;Fear,''lah lah kaget dong aku, kok kamu malah sedih??''
''lah lah kaget dong aku, kok kamu malah sedih??'';Fear;Anger,''lah ngapa jadi bawa sby? bro pada hakikatnya sah2 saja apabila ada orang yg muji maupun benci asal alasannya konkret dan tdk munafik ngomong apa ngasi gambar apa.. jaka sembung bawa kembang ga nyambung sayang''
''lah ngapa jadi bawa sby? bro pada hakikatnya sah2 saja apabila ada orang yg muji maupun benci asal alasannya konkret dan tdk munafik ngomong apa ngasi gambar apa.. jaka sembung bawa kembang ga nyambung sayang'';Anger;Neutral,''lah siapa lagi wkwk teman sedih senang aku dari lama banget yaampun, dia mau curhat aja aku rela ghosting dunia.''
''lah siapa lagi wkwk teman sedih senang aku dari lama banget yaampun, dia mau curhat aja aku rela ghosting dunia.'';Neutral;Anger,''lah, tibe kena marah''
''lah, tibe kena marah'';Anger;Joy,''lahya? ngapain marah? wkwk''
''lahya? ngapain marah? wkwk'';Joy;Anger,''lain kali otak tuh biarin aja stay di kepala jangan dipindah pindah ke kontol juancok, tolol kan jadinya. gih musnah aja, ngehabis2in oksigen aja kalau hidup''
''lain kali otak tuh biarin aja stay di kepala jangan dipindah pindah ke kontol juancok, tolol kan jadinya. gih musnah aja, ngehabis2in oksigen aja kalau hidup'';Anger;Joy,''lakaka ikut bahagia melihat ini''
''lakaka ikut bahagia melihat ini'';Joy;Neutral,''laki2 kl yg ga biasa nyanyi itu mmg selalu ngeduluin atau ga pas nada kek paksuku''
''laki2 kl yg ga biasa nyanyi itu mmg selalu ngeduluin atau ga pas nada kek paksuku'';Neutral;Anger,''lakik lo tuh cuma parasit doang, kaga kerja tapi nambah beban. cuma numpang idup doang tolol''
''lakik lo tuh cuma parasit doang, kaga kerja tapi nambah beban. cuma numpang idup doang tolol'';Anger;Love,''lala moli banget suka tidur telentang gt''
''lala moli banget suka tidur telentang gt'';Love;Neutral,''lama gada kabar''
''lama gada kabar'';Neutral;Sad,''lama lama gw sedih beneran njir liat emyu:(''
''lama lama gw sedih beneran njir liat emyu:('';Sad;Neutral,''lama lama kan juga terbiasa. teknik ke accounting ya kaget dan gugup karna baru awal''
''lama lama kan juga terbiasa. teknik ke accounting ya kaget dan gugup karna baru awal'';Neutral;Neutral,''lama tidak mengobrol juga. kabar gak baik, hbu?''
''lama tidak mengobrol juga. kabar gak baik, hbu?'';Neutral;Anger,''lama2 nyebelin bgt ya anak2 hasil keluarga bahagia ini -_-''
''lama2 nyebelin bgt ya anak2 hasil keluarga bahagia ini -_-'';Anger;Sad,''langit menjatuhkan bulir-bulir yang sedih, yang sedikit, yang sakit, yang tak sungguh-sungguh menghapus dosa, apalagi kenangan.''
''langit menjatuhkan bulir-bulir yang sedih, yang sedikit, yang sakit, yang tak sungguh-sungguh menghapus dosa, apalagi kenangan.'';Sad;Sad,''langit tau banyak yg lagi sedih makanya turun''
''langit tau banyak yg lagi sedih makanya turun'';Sad;Fear,''langsung aku unfoll loh, ternyata alasan orang2 pada ga suka sama dia sekarang jelas banget orgnya bikin ngerian''
''langsung aku unfoll loh, ternyata alasan orang2 pada ga suka sama dia sekarang jelas banget orgnya bikin ngerian'';Fear;Anger,''langsung melek gw bangsat''
''langsung melek gw bangsat'';Anger;Neutral,''langsung swab pcr ya nder. gausah takut. nanti obatnya gratis ko dari pemerintah. nothing to worries biar ga nyebarin ke yang lain juga kalau udah ketahuan''
''langsung swab pcr ya nder. gausah takut. nanti obatnya gratis ko dari pemerintah. nothing to worries biar ga nyebarin ke yang lain juga kalau udah ketahuan'';Neutral;Neutral,''lanjut gais. bbc skincare ini produk local ya, yang paling aku cinta n demen itu karna tekstur creamnya lembut ga lengket di aplikasiin ke muka enteng kaya ga pake apa2, ga ngedempul, kulit muka jadi cerah n glowing natural''
''lanjut gais. bbc skincare ini produk local ya, yang paling aku cinta n demen itu karna tekstur creamnya lembut ga lengket di aplikasiin ke muka enteng kaya ga pake apa2, ga ngedempul, kulit muka jadi cerah n glowing natural'';Neutral;Love,''lao yan :') suka banget sama yg modelan gitu meski ngeselin :')''
''lao yan :') suka banget sama yg modelan gitu meski ngeselin :')'';Love;Neutral,''lao yan, karena dia tuh tipe-tipe tsundere. suka banget goda ah qiao. meskipun begitu, dia selalu nolong ah qiao''
''lao yan, karena dia tuh tipe-tipe tsundere. suka banget goda ah qiao. meskipun begitu, dia selalu nolong ah qiao'';Neutral;"Neutral,''lapor komandan saat ini pagi pukul jam 07.04 wib bagian indonesia perjodohan masih terpantau sepi belum ada perubahan status sampai saat ini "" terima harapan ""''"
"''lapor komandan saat ini pagi pukul jam 07.04 wib bagian indonesia perjodohan masih terpantau sepi belum ada perubahan status sampai saat ini "" terima harapan ""''";Neutral;Fear,''laptopnya kaget itu''
''laptopnya kaget itu'';Fear;Fear,''lawan bocil aja takut, apalagi melawan restu orang tua''
''lawan bocil aja takut, apalagi melawan restu orang tua'';Fear;Fear,''layout mu keramat aku jadi takut ajakin barengan''
''layout mu keramat aku jadi takut ajakin barengan'';Fear;Neutral,''ld nya scratch normal ld itungannya smol demej yaa? aku dom jkt nderr''
''ld nya scratch normal ld itungannya smol demej yaa? aku dom jkt nderr'';Neutral;Anger,''lebay bgt anjir nangis smpe tersedu sedu kaya diapain org malu anjir''
''lebay bgt anjir nangis smpe tersedu sedu kaya diapain org malu anjir'';Anger;Sad,''lebih aneh lagi yg hobi dengerin lagu2 sedih biar bisa sedih''
''lebih aneh lagi yg hobi dengerin lagu2 sedih biar bisa sedih'';Sad;Anger,''lebih bagus elo murtad dari pada ngaku islam tapi bikin sampah di islam.malah ngotor ngotorin saja''
''lebih bagus elo murtad dari pada ngaku islam tapi bikin sampah di islam.malah ngotor ngotorin saja'';Anger;Neutral,''lebih baik di benci tapi menjadi diri sendiri, daripada di suka tapi menjadi orang lain''
''lebih baik di benci tapi menjadi diri sendiri, daripada di suka tapi menjadi orang lain'';Neutral;Neutral,''lebih baik diam, dan biarkan saja orang lain menganggapmu bodoh, daripada banyak bicara, dan malah terbukti benar anggapan mereka.''
''lebih baik diam, dan biarkan saja orang lain menganggapmu bodoh, daripada banyak bicara, dan malah terbukti benar anggapan mereka.'';Neutral;Anger,''lebih baik gua marah dari pada benci! kalo udah benci ga bakal mau kenal lagi''
''lebih baik gua marah dari pada benci! kalo udah benci ga bakal mau kenal lagi'';Anger;Sad,''lebih baik melihat dia marah dari pada melihat dia sedih.''
''lebih baik melihat dia marah dari pada melihat dia sedih.'';Sad;Love,''lebih baik perjuangin orang yang bener2 sayang, tulus sama kita, dari pada perjuangin orang yang kita suka yang belum bener2 sayang sm kita.''
''lebih baik perjuangin orang yang bener2 sayang, tulus sama kita, dari pada perjuangin orang yang kita suka yang belum bener2 sayang sm kita.'';Love;Neutral,''lebih enak lg kalo mutualan''
''lebih enak lg kalo mutualan'';Neutral;Neutral,''lebih enak sahabat dulu baru jadian terus nikah''
''lebih enak sahabat dulu baru jadian terus nikah'';Neutral;Neutral,''lebih ke bego kalo ak''
''lebih ke bego kalo ak'';Neutral;Anger,''lebih marah aku, kenapa kamu make bangun''
''lebih marah aku, kenapa kamu make bangun'';Anger;Neutral,''lebih mending kecanduan si jadi enak ngabisin obatnya, ya gak sih?''
''lebih mending kecanduan si jadi enak ngabisin obatnya, ya gak sih?'';Neutral;Joy,''lebih murah dan lebih enak ini drpd s*ri r*t1''
''lebih murah dan lebih enak ini drpd s*ri r*t1'';Joy;Sad,''lebih nyaman sendiri sebenernya karena ngga nyusahin orang lain. cuma kadang suka mikir masa ma sendiri terus, emang aku ngga se worth it itu tes tes nangis''
''lebih nyaman sendiri sebenernya karena ngga nyusahin orang lain. cuma kadang suka mikir masa ma sendiri terus, emang aku ngga se worth it itu tes tes nangis'';Sad;Joy,''lebih semangat dari hari sebelumnya''
''lebih semangat dari hari sebelumnya'';Joy;Fear,''lebih takut arab di puncak''
''lebih takut arab di puncak'';Fear;Anger,''ledik jancuukk tai anjingg setann tolol babi monyett''
''ledik jancuukk tai anjingg setann tolol babi monyett'';Anger;Neutral,''legowo itu adalah semangat.''
''legowo itu adalah semangat.'';Neutral;Sad,''lemes maszehh namanya juga emyu kadang bikin bahagia kadang juga kecewa bukan begitu''
''lemes maszehh namanya juga emyu kadang bikin bahagia kadang juga kecewa bukan begitu'';Sad;Anger,''lepaskanlah hati dan pikiranku dari keterikatan yang menjadikanku mudah marah dan berkecil hati''
''lepaskanlah hati dan pikiranku dari keterikatan yang menjadikanku mudah marah dan berkecil hati'';Anger;Neutral,''level ketika pms lu bukan nahan marah lagi atau bt tapi nahan y''
''level ketika pms lu bukan nahan marah lagi atau bt tapi nahan y'';Neutral;Neutral,''lg marah? wkwk''
''lg marah? wkwk'';Neutral;Joy,''lg sedih jdi terhibur aq''
''lg sedih jdi terhibur aq'';Joy;Sad,''lgi berada di fase pengen nangis tpi gk tau kenapa.. bawaanya sedih aja pdhal gk ada yg menyedihkan..''
''lgi berada di fase pengen nangis tpi gk tau kenapa.. bawaanya sedih aja pdhal gk ada yg menyedihkan..'';Sad;Fear,''lho kaget, baru sadar''
''lho kaget, baru sadar'';Fear;Fear,''lho kirain fest hahahha :')''
''lho kirain fest hahahha :')'';Fear;Fear,''liat kok cuman takut pada ikut close juga,nanti gw sendirian:(''
''liat kok cuman takut pada ikut close juga,nanti gw sendirian:('';Fear;Anger,''liatliat! tweet! jangan kaget! jangan anggep alay! namanya juga bot! jangan nyesel udah baca! ntar gue kasih panserpis kok! botbot''
''liatliat! tweet! jangan kaget! jangan anggep alay! namanya juga bot! jangan nyesel udah baca! ntar gue kasih panserpis kok! botbot'';Anger;Anger,''liatnya aja udh panas tpi gpp semangat meski emosiii''
''liatnya aja udh panas tpi gpp semangat meski emosiii'';Anger;Neutral,''libra salah diartiin php mulu padahal behaviournya aja yg suka bikin nyaman orang2 sekitarnya.''
''libra salah diartiin php mulu padahal behaviournya aja yg suka bikin nyaman orang2 sekitarnya.'';Neutral;Neutral,''lihat endingnya saja..''
''lihat endingnya saja..'';Neutral;Sad,''like i understandd gue jg apal lagu2nya mostly krn gue gapernah absen nonton pensi festival.. and ofc not everyone grew up listening to the same songs as me tp tetep aja sedih dikit hikss''
''like i understandd gue jg apal lagu2nya mostly krn gue gapernah absen nonton pensi festival.. and ofc not everyone grew up listening to the same songs as me tp tetep aja sedih dikit hikss'';Sad;Love,''likee both cuma puzzle piece tuh suka nya suka banget''
''likee both cuma puzzle piece tuh suka nya suka banget'';Love;Neutral,''lima menit pun, setidak deras apapun hujan, tatap saja basah''
''lima menit pun, setidak deras apapun hujan, tatap saja basah'';Neutral;Neutral,''link nonton tsuma shogakusei ni naru,drama jepang penuh tawa dan tangis''
''link nonton tsuma shogakusei ni naru,drama jepang penuh tawa dan tangis'';Neutral;Anger,''lo aja kali yang terbebani aneh, kalau gamau nolongin yaudah gausah aneh banget si lu. gua aja gak terbebani malahan suka nawarin boncengan. kaaya baru bisa naik motor aj monyet.''
''lo aja kali yang terbebani aneh, kalau gamau nolongin yaudah gausah aneh banget si lu. gua aja gak terbebani malahan suka nawarin boncengan. kaaya baru bisa naik motor aj monyet.'';Anger;Anger,''lo benci jamet sih sebenernya bukan pesepeda motor''
''lo benci jamet sih sebenernya bukan pesepeda motor'';Anger;Anger,''lo berdua bego gausah rebutan''
''lo berdua bego gausah rebutan'';Anger;Joy,''lo harus semangat nan yok semangat yook''
''lo harus semangat nan yok semangat yook'';Joy;Anger,''lo ngerti nggak drun dia sdg menjalankan krj sbg anggota dewan yg dpt hak impunitas. kadrun bego bgt sih. klo si edi mulyadi udh jelas menghina luar biasa merendahkan dgn nyebut kata2 binatang dan setan. lo kau gt dong aja nggak ngerti drun..''
''lo ngerti nggak drun dia sdg menjalankan krj sbg anggota dewan yg dpt hak impunitas. kadrun bego bgt sih. klo si edi mulyadi udh jelas menghina luar biasa merendahkan dgn nyebut kata2 binatang dan setan. lo kau gt dong aja nggak ngerti drun..'';Anger;Fear,''lo takut ga sih anjir selasa depan anjir, treasure beneran cb ya?!?!''
''lo takut ga sih anjir selasa depan anjir, treasure beneran cb ya?!?!'';Fear;Fear,''lo takut jg gk''
''lo takut jg gk'';Fear;Anger,''lo yg menganggap poligami adalah solusi dari perzinaan. oiya dan ngga semua laki2 mau poligami juga. poligami ngga gampang. banyak orang yg benci poligami karna manusia2 kayak lo. inget ya, tanggung jawab poligami itu berat.''
''lo yg menganggap poligami adalah solusi dari perzinaan. oiya dan ngga semua laki2 mau poligami juga. poligami ngga gampang. banyak orang yg benci poligami karna manusia2 kayak lo. inget ya, tanggung jawab poligami itu berat.'';Anger;Neutral,''lockey sejati semangat''
''lockey sejati semangat'';Neutral;"Love,''lockey tetep harus support secret number juga, dan bia nerima member baru juga. iya kita sedih, tp kepikiran ga si sama eonni"" secret number kita mrka skrg harus berjuang lg tanpa denise aa love and support both secret number and denise.''"
"''lockey tetep harus support secret number juga, dan bia nerima member baru juga. iya kita sedih, tp kepikiran ga si sama eonni"" secret number kita mrka skrg harus berjuang lg tanpa denise aa love and support both secret number and denise.''";Love;Sad,''loh aq aja bisa nangis lagi pas scene ini. nyampe bngt. selama ada irvan sakit sampe meninggoy dan full jessy nangis spy nyampe sedihnya ke pononton. tapj aq kok ga bisa ikutan sedih. cuma pas andin sesengukan di makam itu aq sempet ikutan sedih.''
''loh aq aja bisa nangis lagi pas scene ini. nyampe bngt. selama ada irvan sakit sampe meninggoy dan full jessy nangis spy nyampe sedihnya ke pononton. tapj aq kok ga bisa ikutan sedih. cuma pas andin sesengukan di makam itu aq sempet ikutan sedih.'';Sad;Sad,''loh udah berakhir kontraknya ?? sedih bgtt''
''loh udah berakhir kontraknya ?? sedih bgtt'';Sad;Neutral,''loka open verif dijamin amanah trusted juga mastip 15 maret 2022 ramah kok pren tidak galak (.) jangan ragu langsung dm/wa di bionya ya! yg mau verif lainnya juga bisa fast respon : 2''
''loka open verif dijamin amanah trusted juga mastip 15 maret 2022 ramah kok pren tidak galak (.) jangan ragu langsung dm/wa di bionya ya! yg mau verif lainnya juga bisa fast respon : 2'';Neutral;Love,''lope u ci, makasih udah mau dengerin keluh kesah aku juga, masih suka ngerecokin ci adel sayang banyak banyak''
''lope u ci, makasih udah mau dengerin keluh kesah aku juga, masih suka ngerecokin ci adel sayang banyak banyak'';Love;Love,''love banget ama doiii''
''love banget ama doiii'';Love;Love,''love youuu kaputt, sehat dan bahagia selalu yaa''
''love youuu kaputt, sehat dan bahagia selalu yaa'';Love;Love,''lovestruck in the city (2020) drama yang ringan banget. buat yang suka nonton drakor romantis, pasti suka karna w suka bet''
''lovestruck in the city (2020) drama yang ringan banget. buat yang suka nonton drakor romantis, pasti suka karna w suka bet'';Love;Neutral,''lrt memang ajaib orang-orang sebelah sana tu dan ini bukan yg pertama kalinya mereka kecewa karena kemakan ekspetasi berlebihan mereka sendiri kan''
''lrt memang ajaib orang-orang sebelah sana tu dan ini bukan yg pertama kalinya mereka kecewa karena kemakan ekspetasi berlebihan mereka sendiri kan'';Neutral;Love,''ls lama, tapi suka banget''
''ls lama, tapi suka banget'';Love;Anger,''lu bego bgt deh asli''
''lu bego bgt deh asli'';Anger;Anger,''lu berdua sodaraan tp lg flirty tolol gini aku yg stress''
''lu berdua sodaraan tp lg flirty tolol gini aku yg stress'';Anger;Anger,''lu ga lebih dri org iri yg kebetulan tolol.''
''lu ga lebih dri org iri yg kebetulan tolol.'';Anger;Fear,''lu nggak malu? atau mungkin kalian emang nggak tau malu?''
''lu nggak malu? atau mungkin kalian emang nggak tau malu?'';Fear;Anger,''lu paling susah di ayoin sih bangsat.''
''lu paling susah di ayoin sih bangsat.'';Anger;Sad,''lu sedih gak? gue sih iya''
''lu sedih gak? gue sih iya'';Sad;Anger,''lu tau seberapa gue keselnya? di shop gak ada sama sekali paketnya, harus cek history sama recommend for you baru keliatan. kan gak jelas bikin emosi pagi pagi benci bgt pake mytelkomsel gak jelas!!''
''lu tau seberapa gue keselnya? di shop gak ada sama sekali paketnya, harus cek history sama recommend for you baru keliatan. kan gak jelas bikin emosi pagi pagi benci bgt pake mytelkomsel gak jelas!!'';Anger;Anger,''lu tuh udah bodoh,pendek,ngga pinter, ngga bisa apa apa,cuman beban doang,hidup lagi haha masih mau hidup lu zar ??''
''lu tuh udah bodoh,pendek,ngga pinter, ngga bisa apa apa,cuman beban doang,hidup lagi haha masih mau hidup lu zar ??'';Anger;Anger,''lu yg tolol anjir''
''lu yg tolol anjir'';Anger;Neutral,''luar biasa''
''luar biasa'';Neutral;Joy,''luar biasa pak''
''luar biasa pak'';Joy;Neutral,''luar biasa rusia''
''luar biasa rusia'';Neutral;Neutral,''luar biasa ya ..''
''luar biasa ya ..'';Neutral;Neutral,''luar biasa.. parah''
''luar biasa.. parah'';Neutral;Neutral,''luat biasa''
''luat biasa'';Neutral;Joy,''luci : aww jd malu wkwkwk''
''luci : aww jd malu wkwkwk'';Joy;"Joy,''lucu banget ""kalo gak minta izin nanti ortu kamu gak suka sama aku"" ngakak awkakwwka''"
"''lucu banget ""kalo gak minta izin nanti ortu kamu gak suka sama aku"" ngakak awkakwwka''";Joy;Love,''lucu banget editannya aku waktu sma suka banget sama series ini. liburan ke bandung cuma buat nyari gramedia buat beli series ke-4 karena dikota aku belum ada''
''lucu banget editannya aku waktu sma suka banget sama series ini. liburan ke bandung cuma buat nyari gramedia buat beli series ke-4 karena dikota aku belum ada'';Love;Joy,''lucu banget jisuung twibinyaa happiest birthday sayangkuu, wishing you anything but only the best one in your life. jangan lupa mam yg enak ya hari ini''
''lucu banget jisuung twibinyaa happiest birthday sayangkuu, wishing you anything but only the best one in your life. jangan lupa mam yg enak ya hari ini'';Joy;Joy,''lucu banget kakak tertua takut sama saya.''
''lucu banget kakak tertua takut sama saya.'';Joy;Love,''lucu banget kuenya bentuk chikin hidup amen makasih banyak lis, kamu juga ya sukses terus karirnya. waduh dikasih salonpas tau aja aku suka encok kalau dance huft. makasih banyak lisa''
''lucu banget kuenya bentuk chikin hidup amen makasih banyak lis, kamu juga ya sukses terus karirnya. waduh dikasih salonpas tau aja aku suka encok kalau dance huft. makasih banyak lisa'';Love;Joy,''lucu banget noona kolaborasi twibbon yaah? makasih banyak ya noona! have a nice day, semangat event!!''
''lucu banget noona kolaborasi twibbon yaah? makasih banyak ya noona! have a nice day, semangat event!!'';Joy;Sad,''lucu banget, yeseo! sayangnya gak punya tiktok, nih. (sedih)''
''lucu banget, yeseo! sayangnya gak punya tiktok, nih. (sedih)'';Sad;Neutral,''lucu, sedih, serem kek kok bisa sii''
''lucu, sedih, serem kek kok bisa sii'';Neutral;Anger,''luffy : selain bodoh, kau juga pengecut! aku tidak menyukaimu..!''
''luffy : selain bodoh, kau juga pengecut! aku tidak menyukaimu..!'';Anger;Sad,''luka pling berat dan bikin trauma banget,benci banget tp kek ya udh,,udh terlanjur dan udh terjdi pengen putar waktu mending gk kenal dia dari awal,tp semua udh terjdi yah''
''luka pling berat dan bikin trauma banget,benci banget tp kek ya udh,,udh terlanjur dan udh terjdi pengen putar waktu mending gk kenal dia dari awal,tp semua udh terjdi yah'';Sad;Sad,''lukaku banyak banget disini dan kalo tiba2 keinget masih suka nangis & masih terasa sakit..''
''lukaku banyak banget disini dan kalo tiba2 keinget masih suka nangis & masih terasa sakit..'';Sad;Love,''lulu bggtt cinta bgtt mana suka sayuran brokoli lucu bgtt gemess selalu kepo endus2''
''lulu bggtt cinta bgtt mana suka sayuran brokoli lucu bgtt gemess selalu kepo endus2'';Love;Neutral,''lune mau temenan ga? nanti gue mention sepi banget ga ada temen ngobrol. rep panggil nama gue ya''
''lune mau temenan ga? nanti gue mention sepi banget ga ada temen ngobrol. rep panggil nama gue ya'';Neutral;Sad,''lupa banget caranya nangis.. kadang biar nangis gw pancing pake nonton film sedih ttp aja susah.. gmn ini ya takut sistem air mata udh ga bereproduksi lg''
''lupa banget caranya nangis.. kadang biar nangis gw pancing pake nonton film sedih ttp aja susah.. gmn ini ya takut sistem air mata udh ga bereproduksi lg'';Sad;Neutral,''lupakan saja kawan,on time bukan budaya kita~~ aku yo gtu,klo ga ontime hati gelisah,pas ontime sepi''
''lupakan saja kawan,on time bukan budaya kita~~ aku yo gtu,klo ga ontime hati gelisah,pas ontime sepi'';Neutral;Anger,''luv emyuu tolol sumpah''
''luv emyuu tolol sumpah'';Anger;Joy,''maaciw kak udah ikutan giveaway nya mimin, teruss semangat semoga kamu beruntung yachh, fighting ^lw''
